id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150314399","Wiltshire","Plot","East Gomeldon Road, Gomeldon","£425,000","Guide Price","4","","1,000 sq. ft.","1000","1000","93","93","A once in a lifetime opportunity to purchase a circa 3 acre site on the edge of the village with planning for two separate properties.","https://www.rightmove.co.uk/properties/150314399#/?channel=COM_BUY","2024-07-16T17:17:23Z","","price_reduced","Marketed by Whites, Salisbury","","51.117282","-1.718566","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12839/150314399/12839_33238878_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12839/150314399/12839_33238878_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12839/150314399/12839_33238878_IMG_07_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12839/150314399/12839_33238878_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12839/150314399/12839_33238878_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12839/150314399/12839_33238878_IMG_09_0000_max_476x317.jpeg"
"722868613189056","Wiltshire","Distribution Warehouse","Unit 2 Fraser Centre, Faraday Road, Swindon, SN3 5HS","POA","","","","4,571 sq. ft.","4571","4571","425","425","New industrial/trade units in established business location","https://www.rightmove.co.uk/properties/722868613189056#/?channel=COM_BUY","2025-12-03T11:49:06Z","","size_change","Marketed by WBM Commercial Property Limited, Swindon","","51.559647","-1.723821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e4fb29225/722868613189056/e4fb29225e2bbfb69f3b07ec8c1b5bfd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/55f28e9c3/722868613189056/55f28e9c3caeb82f2bbdc79fbb3575ba_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/74539f016/722868613189056/74539f0167f49e8eac5862d9f3afa79b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/502263efa/722868613189056/502263efaa82ebc61a44a5282ca931d2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af97fe42f/722868613189056/af97fe42f56d69473d702d4b36fc4eb2_max_476x317.jpeg"
"722868621550817","Wiltshire","Distribution Warehouse","Unit 3 Fraser Centre, Faraday Road, Swindon, SN3 5HS","POA","","","","4,571 sq. ft.","4571","4571","425","425","New industrial/trade units in established business location","https://www.rightmove.co.uk/properties/722868621550817#/?channel=COM_BUY","2025-12-03T11:49:04Z","","size_change","Marketed by WBM Commercial Property Limited, Swindon","","51.559647","-1.723821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/76ceb238e/722868621550817/76ceb238eeb15fd4d0d4e128a5a2c218_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f4addcb35/722868621550817/f4addcb35da94f0bd6a045459825d8f0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/74539f016/722868621550817/74539f0167f49e8eac5862d9f3afa79b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/502263efa/722868621550817/502263efaa82ebc61a44a5282ca931d2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af97fe42f/722868621550817/af97fe42f56d69473d702d4b36fc4eb2_max_476x317.jpeg"
"722868628085424","Wiltshire","Distribution Warehouse","Unit 4 Fraser Centre, Faraday Road, Swindon, SN3 5HS","POA","","","","4,571 sq. ft.","4571","4571","425","425","New industrial/trade units in established business location","https://www.rightmove.co.uk/properties/722868628085424#/?channel=COM_BUY","2025-12-03T11:49:09Z","","size_change","Marketed by WBM Commercial Property Limited, Swindon","","51.559647","-1.723821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868628085424/120988_217308-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868628085424/120988_217308-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868628085424/120988_217308-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868628085424/120988_217308-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120988/722868628085424/120988_217308-1_IMG_04_0000_max_476x317.jpeg"
"170010395","Wiltshire","Land","Ashton Keynes, Fridays Ham Lane, SN6","£1,750,000","Guide Price","","","4,282,384 sq. ft.","4282384","4282384","397846","397846","** An additional 12.14 acres of flat pastureland with NO SSSI designation, multiple buildings and fronting Friday Ham Lane is now included within the sale ** This area benefits from its own historic gated access off Friday Ham Lane and offers clear potential for future development (ST...","https://www.rightmove.co.uk/properties/170010395#/?channel=COM_BUY","2025-12-04T15:37:09Z","","new","Marketed by Woolley & Wallis, Marlborough","","51.651195","-1.915126","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010395/55965_MAR250098_IMG_18_0000_max_476x317.jpeg"
"168963047","Wiltshire","Plot","Haybrook Rise, Pewsey","£20,000","Guide Price","","","","","","","","LOT 07 FOR SALE BY ONLINE AUCTION THURSDAY 4th DECEMBER 2025 GUIDE PRICE £25,000+ Potential development land (subject to consents) located on the edge of the village and adjoining residential properties. The land has a frontage to Haybrook Rise of about 55m (180ft) a...","https://www.rightmove.co.uk/properties/168963047#/?channel=COM_BUY","2025-11-04T11:27:24Z","","price_reduced","Marketed by Strakers, Devizes & Pewsey Vale","","51.343864","-1.777115","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2900/168963047/2900_34283905_IMG_06_0000_max_476x317.jpeg"
"169879391","Wiltshire","Retail Property (high street)","53 Market Place, Chippenham, Wiltshire, SN15 3HU","£195,000","","","","948 sq. ft.","948","948","88","88","The property comprises a floor lock-up business (Class E) unit situated over ground, first and second floors. The property has rendered elevations under a pitched tiled roof and attractive retail frontage. The ground floor is open plan and broadly regular in shape, narrowing slightly to the rear....","https://www.rightmove.co.uk/properties/169879391#/?channel=COM_BUY","2025-12-01T14:07:48Z","","new","Marketed by CSquared, Bath","","51.458412","-2.114472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169879391/174275_2517FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169879391/174275_2517FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169879391/174275_2517FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169879391/174275_2517FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174275/169879391/174275_2517FH_IMG_04_0000_max_476x317.jpeg"
"170010179","Wiltshire","Land","Brinkworth, Chippenham, Wiltshire, SN15","£150,000","","","","550,598 sq. ft.","550598","550598","51152","51152","A single parcel of approximately 12.64 acres consisting of productive grassland in Brinkworth. The land is accessed via a Right of Way directly off the B4042 (Swindon Rd).","https://www.rightmove.co.uk/properties/170010179#/?channel=COM_BUY","2025-12-04T15:35:31Z","","new","Marketed by Woolley & Wallis, Marlborough","","51.563925","-2.012993","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010179/55965_MAR250099_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010179/55965_MAR250099_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010179/55965_MAR250099_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010179/55965_MAR250099_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55965/170010179/55965_MAR250099_IMG_04_0000_max_476x317.jpeg"
"169817840","Wiltshire","Land","Elmore, SWINDON","£10,000","Guide Price","","","","","","","","AUCTION SALE 16 December 2025 - Freehold Site extending to approx. 2,454 sqftFuture Development Opportunity (stpp)Indicative CGI only","https://www.rightmove.co.uk/properties/169817840#/?channel=COM_BUY","2025-11-28T13:07:39Z","","new","Marketed by Barnard Marcus, Hammersmith Auctions","","51.55954","-1.73828","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169817840/24437_AUC0049717_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169817840/24437_AUC0049717_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169817840/24437_AUC0049717_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169817840/24437_AUC0049717_IMG_01_0000_max_476x317.jpeg"
"169809743","Wiltshire","Land","Meadway, TROWBRIDGE","£10,000","Guide Price","","","","","","","","AUCTION SALE 16 December 2025 - Freehold Site of approx. 32,000 sq ft Adjoining Existing Dwellings TO SELL YOUR PROPERTY IN OUR NEXT AUCTION CALL US NOW","https://www.rightmove.co.uk/properties/169809743#/?channel=COM_BUY","2025-11-28T11:08:28Z","","new","Marketed by Barnard Marcus, Hammersmith Auctions","","51.3198","-2.22969","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169809743/24437_AUC0049725_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/25k/24437/169809743/24437_AUC0049725_IMG_00_0000_max_476x317.jpeg"
"169808564","Wiltshire","Heavy Industrial","Highflex House,Telford Road, Salisbury, Wiltshire, SP2 7PH","POA","","","","123,372 sq. ft.","123372","123372","11462","11462","Detached Industrial Premises for sale ","https://www.rightmove.co.uk/properties/169808564#/?channel=COM_BUY","2025-11-28T11:00:00Z","","new","Marketed by CBRE Southampton, CBRE Southampton","","51.06707","-1.81572","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/199k/198443/169808564/198443_Highflexhouse_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/199k/198443/169808564/198443_Highflexhouse_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/199k/198443/169808564/198443_Highflexhouse_IMG_02_0000_max_476x317.jpeg"
"169777598","Wiltshire","Land","Plot to the West Side of Tidworth Road, Allington, Salisbury, Wiltshire, SP4 0BN","£1,000","Guide Price","","","","","","","","FOR SALE BY ONLINE AUCTION - Lot 48 - Land with Potential ; ONLINE AUCTION from 16th DECEMBER-18th DECEMBER The plot forms a parcel of woodland with adopted main road front access and unhindered field views, on the outskirts of the village of Allington just a few miles from Salisbury. T...","https://www.rightmove.co.uk/properties/169777598#/?channel=COM_BUY","2025-11-27T12:33:00Z","","new","Marketed by Paul Fosh Auctions, Newport","","51.153","-1.709805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113059/169777598/113059_319288_IMG_06_0000_max_476x317.jpeg"
"169753316","Wiltshire","Land","Land (14 acre field) at Henley Court, Henley Lane, Henley, Box SN13 8BX","£160,000","Guide Price","","","","","","","","Auction Sale - 09/12/2025 - To book viewings, view the legal pack and register to bid please refer to the full sales particulars on the Savills Auctions website A 14 acre field, benefitting from agriculture land and stunning views across Box Valley, with potential for development subje...","https://www.rightmove.co.uk/properties/169753316#/?channel=COM_BUY","2025-11-26T17:43:14Z","","new","Marketed by Savills Auctions, London","","51.40909","-2.25238","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80881/169753316/80881_198-20231_IMG_00_0000_max_476x317.jpeg"
"169742576","Wiltshire","Commercial Property","7-9 Market Place, Warminster, Wiltshire, BA12 9AY","£325,000","","","","","","","","","Mixed use freehold opportunity consisting of one retail unit on the ground floor and two residential units at the first and second floors. Located in the busy retail position in central Warminster. Ground floor retail unit let at £12,500pax, with both residential units offered with vacant posses...","https://www.rightmove.co.uk/properties/169742576#/?channel=COM_BUY","2025-11-26T14:39:38Z","","new","Marketed by Cooper and Tanner, Cooper and Tanner Commercial","","51.205036","-2.181159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207494/169742576/207494_33149FH_IMG_06_0000_max_476x317.jpeg"
"169711034","Wiltshire","Plot","Drummer Lane, Tidworth","£100,000","Guide Price","","","","","","","","A rare oppertunity to purchase a building plot with permssion to build a four bedroom detached family home. PL/2024/03277","https://www.rightmove.co.uk/properties/169711034#/?channel=COM_BUY","2025-11-25T18:04:54Z","","new","Marketed by Graham & Co, Andover","","51.235065","-1.660497","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8195/169711034/8195_34325465_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8195/169711034/8195_34325465_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8195/169711034/8195_34325465_IMG_02_0000_max_476x317.jpeg"
"169663865","Wiltshire","Land","Sutton Lane, Sutton Benger, SN15","£350,000","Guide Price","4","2","","","","","","A rare opportunity to acquire a prime site situated in the desirable village of Sutton Benger, a location well regarded for its strong community feel and convenient access to surrounding towns.","https://www.rightmove.co.uk/properties/169663865#/?channel=COM_BUY","2025-11-24T16:34:30Z","","new","Marketed by Richard James, Land & New Homes","","51.503965","-2.074102","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227501/169663865/227501_LNH103473_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227501/169663865/227501_LNH103473_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227501/169663865/227501_LNH103473_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227501/169663865/227501_LNH103473_IMG_02_0000_max_476x317.png"
"169649756","Wiltshire","Commercial Development","Cricklade Road, Swindon, SN2","£750,000","","","","1,991 sq. ft.","1991","1991","185","185"," PLANNING APPLICATION GRANTED FOR 7 APARTMENTS PLUS LARGE COMMERCIAL UNIT (SCOPE FOR MORE UNITS STPP)Ready to turn heads - and a profit?","https://www.rightmove.co.uk/properties/169649756#/?channel=COM_BUY","2025-11-24T12:48:39Z","","size_change","Marketed by Location Real Estate, Swindon","","51.571579","-1.776713","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/249k/248351/169649756/248351_d1566cea-eb04-47b3-b6c2-dc12947c6c61_IMG_21_0000_max_476x317.jpeg"
"169561115","Wiltshire","Land","The Great Hinton, The Green, Great Cheverell, Devizes, Wiltshire, SN10 5UY","£10,000","Guide Price","","","26,136 sq. ft.","26136","26136","2428","2428","FOR SALE BY CONNECT UK AUCTIONS: The Great Hinton, Circa 0.6 Acres, in an Excellent Location. Future potential for various development, subject to all necessary consents. Prospective purchasers must rely solely on their own enquiries.","https://www.rightmove.co.uk/properties/169561115#/?channel=COM_BUY","2025-11-21T09:55:02Z","","new","Marketed by Connect-UK, Head Office - Crawley","","51.292303","-2.025708","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169561115/217880_BZR-20321333_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169561115/217880_BZR-20321333_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169561115/217880_BZR-20321333_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169561115/217880_BZR-20321333_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169561115/217880_BZR-20321333_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217880/169561115/217880_BZR-20321333_IMG_06_0000_max_476x317.jpeg"
"169558595","Wiltshire","Land","Land to the Right of 13-23 Meadway, Trowbridge, Wiltshire, BA14 9TF","£5,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th December 2025 10:00 AM To inspect the legal documents for this property go to our website to download the legal pack** A Plot of Land Measuring Approximately 3,308 sq m (35,607 sq ft) Freehold Guide Price = £5,000-£...","https://www.rightmove.co.uk/properties/169558595#/?channel=COM_BUY","2025-11-21T09:05:48Z","","new","Marketed by Auction House London, London","","51.31958","-2.229369","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169558595/285620_318971_IMG_00_0000_max_476x317.jpeg"
"169549331","Wiltshire","Land","Land and Roadways at Nyland Road, Swindon, Wiltshire, SN3 3RJ","£1,000","Guide Price","","","","","","","","**For Sale By Public Auction 11th December 2025 10:00 AM To inspect the legal documents for this property go to our website to download the legal pack** Land and Associated Roadways Measuring Approximately 15 Acres / 60,703 sq m (653,402 sq ft) Freehold Guide ...","https://www.rightmove.co.uk/properties/169549331#/?channel=COM_BUY","2025-11-20T17:23:25Z","","new","Marketed by Auction House London, London","","51.566098","-1.737303","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169549331/285620_319128_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169549331/285620_319128_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169549331/285620_319128_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285620/169549331/285620_319128_IMG_03_0000_max_476x317.jpeg"
