id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"721600912202448","West Dunbartonshire","Light Industrial","Fleming Court, Clydebank Business Park, Clydebank, G81 2DR","£1,158 pcm","","","","Industrial units located in the well established Clydebank Business Park available to let.","https://www.rightmove.co.uk/properties/721600912202448#/?channel=COM_LET","2025-11-26T11:40:06Z","","price_reduced","Marketed by G M Brown, Glasgow","","55.906048","-4.405387","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_03_0000_max_476x317.jpeg"
"721601281136721","West Dunbartonshire","Light Industrial","Burroughs Way, Vale of Leven Industrial Estate, Dumbarton, G82 3PD","POA","","","","Letting / purchase industrial design and build opportunities available from 10,000 sq ft up to 100,000 sq ft","https://www.rightmove.co.uk/properties/721601281136721#/?channel=COM_LET","2025-11-26T11:46:16Z","","new","Marketed by G M Brown, Glasgow","","55.969957","-4.573744","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/01c5ad486/721601281136721/01c5ad486a4bded4d7457d03e217f19a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e1c758fc/721601281136721/3e1c758fcfc9f24a45e8690e66291b6d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b524a1d40/721601281136721/b524a1d40d251e32881ee209cb571fd4_max_476x317.jpeg"
"721600916395857","West Dunbartonshire","Light Industrial","Baird Court, Clydebank Business Park, Clydebank, G81 2QP","£1,208 pcm","","","","Refurbished light industrial / workshop units available to let within the well established Clydebank Business Park.","https://www.rightmove.co.uk/properties/721600916395857#/?channel=COM_LET","2025-11-26T11:40:05Z","","size_change","Marketed by G M Brown, Glasgow","","55.90822","-4.410197","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_03_0000_max_476x317.jpeg"
"168596600","West Dunbartonshire","Office","Buildings 3 & 4, Blair Court, 5 North Avenue, Clydebank Business Park, Clydebank, G81 2LA","£1,574 pcm","","","","Two office buildings, available to purchase as one or separately, with car parking.","https://www.rightmove.co.uk/properties/168596600#/?channel=COM_LET","2025-10-24T17:17:34Z","","new","Marketed by JLL, Glasgow - Offices","","55.9065","-4.407187","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_03_0000_max_476x317.jpeg"
"168272840","West Dunbartonshire","Retail Property (high street)","101 Sylvania Way, Clydebank, G81 2UA","POA","","","","Retail Unit - To Let","https://www.rightmove.co.uk/properties/168272840#/?channel=COM_LET","2025-10-16T16:55:38Z","","new","Marketed by Savills, Edinburgh - Retail","","55.904224","-4.403598","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251255/168272840/251255_334826-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251255/168272840/251255_334826-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251255/168272840/251255_334826-2_IMG_02_0000_max_476x317.jpeg"
"167860226","West Dunbartonshire","Shop","8 Dunn Street, Dalmuir, G81","POA","","","","The subjects are located on Dunn Street, within the Dalmuir area of Clydebank. Glasgow city centre lies approximately8 miles to the east. There are excellent transport links available, with Dalmuir Train Station located within 2 minutes’ walk. Regular bus services are available on Dumbarton Ro...","https://www.rightmove.co.uk/properties/167860226#/?channel=COM_LET","2025-10-06T14:56:42Z","","new","Marketed by DM Hall, Glasgow","","55.912096","-4.429988","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167860226/145094_WSA2879_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167860226/145094_WSA2879_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167860226/145094_WSA2879_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167860226/145094_WSA2879_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167860226/145094_WSA2879_IMG_04_0001_max_476x317.jpeg"
"160343255","West Dunbartonshire","Industrial Park","Block 2, 57a Beardmore Way, Clydebank, Scotland, G81 4HT","POA","","","","57 Beardmore Way has recenlty been extended to provide a 44,793 sq ft of modern warehouse space. The unit benefits from 8.21M eaves and provides groud level access to a shared yard. Flexible terms available","https://www.rightmove.co.uk/properties/160343255#/?channel=COM_LET","2025-04-07T12:16:56Z","","size_change","Marketed by Ryden LLP, Glasgow","","55.906815","-4.435321","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160343255/287999_15250LH_IMG_16_0000_max_476x317.jpeg"
"167117849","West Dunbartonshire","Shop","Kilbowie Road, Clydebank, Dunbartonshire, G81","£667 pcm","","","","The subjects are located on the east side of Kilbowie Road, close to the junction with Dumbarton Road (A814), in the heart of Clydebank town centre. Clydebank is located on the north bank of the River Clyde and is the largest town in West Dunbartonshire with a population of just under 30,000.","https://www.rightmove.co.uk/properties/167117849#/?channel=COM_LET","2025-09-17T18:26:52Z","","new","Marketed by Lapsley McManus Property Consultants LTD, Glasgow","","55.90076","-4.40563","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117849/73725_EE6925let_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117849/73725_EE6925let_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117849/73725_EE6925let_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117849/73725_EE6925let_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117849/73725_EE6925let_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/167117849/73725_EE6925let_IMG_08_0000_max_476x317.jpeg"
"167056352","West Dunbartonshire","Office","2 Sylvania Way , Clydebank , G81","POA","","","","The subjects are located on the north side of Sylvania Way, close to its junction with Chalmers Street within Clydebank. Glasgow city centre lies approximately 8 miles west. Sylvania Way is the primary pedestrian thoroughfare on the south of Clyde Shopping Centre, connecting Clydebank railway st...","https://www.rightmove.co.uk/properties/167056352#/?channel=COM_LET","2025-09-16T15:08:11Z","","new","Marketed by DM Hall, Glasgow","","55.901368","-4.404159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167056352/145094_WSA2878_IMG_10_0001_max_476x317.jpeg"
"141550718","West Dunbartonshire","Shop","High Street, Dumbarton, Dunbartonshire, G82","£1,167 pcm","","","1","The premises comprise a highly prominent corner positioned shop /office with secure parking / loading access at the rear located in the heart of Dumbarton town centre. The shop benefit from a good sized double fronted aluminium framed frontage set behind electrically operated roller shutters.","https://www.rightmove.co.uk/properties/141550718#/?channel=COM_LET","2023-11-01T16:52:34Z","","new","Marketed by Lapsley McManus Property Consultants LTD, Glasgow","","55.94366","-4.57265","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE030825_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/141550718/73725_EE141HighSt_IMG_07_0000_max_476x317.jpeg"
