id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"723053370272560","Dunbartonshire","Retail Property (Shopping Centre)","6 Britannia Way, Clyde Shopping Centre, Clydebank, G81 2UA","POA","","","","2,087 sq. ft.","2087","2087","194","194","RETAIL UNIT - TO LET","https://www.rightmove.co.uk/properties/723053370272560#/?channel=COM_LET","2025-12-04T14:14:13Z","","new","Marketed by Savills, Edinburgh - Retail","","55.904462","-4.402931","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251255/723053370272560/251255_223835-2_IMG_00_0000_max_476x317.jpeg"
"169913345","Dunbartonshire","Office","70 Manse Road, Bearsden, Glasgow G61 3RQ","£4,995 pcm","","4","2","","","","","","Rarely available, enjoying a premier position in one of the district's premier addresses, this detached sandstone villa has been recently fully upgraded, offering attractive flexible accommodation comprising six full apartments, and minutes walk from Bearsden Cross. Accommodation on the ...","https://www.rightmove.co.uk/properties/169913345#/?channel=COM_LET","2025-12-02T12:18:45Z","","new","Marketed by G & S Properties, Bearsden","","55.921817","-4.334175","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169913345/65710_34336137_IMG_27_0000_max_476x317.jpeg"
"721600912202448","Dunbartonshire","Light Industrial","Fleming Court, Clydebank Business Park, Clydebank, G81 2DR","£1,158 pcm","","","","1,012–1,950 sq. ft.","1012","1950","94","181","Industrial units located in the well established Clydebank Business Park available to let.","https://www.rightmove.co.uk/properties/721600912202448#/?channel=COM_LET","2025-11-26T11:40:06Z","","price_reduced","Marketed by G M Brown, Glasgow","","55.906048","-4.405387","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600912202448/243653_271020-2_IMG_03_0000_max_476x317.jpeg"
"721601281136721","Dunbartonshire","Light Industrial","Burroughs Way, Vale of Leven Industrial Estate, Dumbarton, G82 3PD","POA","","","","10,000–100,000 sq. ft.","10000","100000","929","9290","Letting / purchase industrial design and build opportunities available from 10,000 sq ft up to 100,000 sq ft","https://www.rightmove.co.uk/properties/721601281136721#/?channel=COM_LET","2025-11-26T11:46:16Z","","new","Marketed by G M Brown, Glasgow","","55.969957","-4.573744","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/01c5ad486/721601281136721/01c5ad486a4bded4d7457d03e217f19a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e1c758fc/721601281136721/3e1c758fcfc9f24a45e8690e66291b6d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b524a1d40/721601281136721/b524a1d40d251e32881ee209cb571fd4_max_476x317.jpeg"
"721601308493696","Dunbartonshire","Light Industrial","Unit 8A/8B, 5 Campsie Road, Kirkintilloch, G66 1SL","£2,000 pcm","","","","3,166 sq. ft.","3166","3166","294","294","Industrial / trade-counter premises, under refurbishment, located with offices located within Kirkintilloch","https://www.rightmove.co.uk/properties/721601308493696#/?channel=COM_LET","2025-11-26T11:46:08Z","","new","Marketed by G M Brown, Glasgow","","55.942155","-4.163485","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601308493696/243653_337359-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601308493696/243653_337359-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601308493696/243653_337359-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601308493696/243653_337359-2_IMG_03_0000_max_476x317.jpeg"
"721600916395857","Dunbartonshire","Light Industrial","Baird Court, Clydebank Business Park, Clydebank, G81 2QP","£1,208 pcm","","","","1,919 sq. ft.","1919","1919","178","178","Refurbished light industrial / workshop units available to let within the well established Clydebank Business Park.","https://www.rightmove.co.uk/properties/721600916395857#/?channel=COM_LET","2025-11-26T11:40:05Z","","size_change","Marketed by G M Brown, Glasgow","","55.90822","-4.410197","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600916395857/243653_271029-2_IMG_03_0000_max_476x317.jpeg"
"168596600","Dunbartonshire","Office","Buildings 3 & 4, Blair Court, 5 North Avenue, Clydebank Business Park, Clydebank, G81 2LA","£1,574 pcm","","","","3,778–14,133 sq. ft.","3778","14133","351","1313","Two office buildings, available to purchase as one or separately, with car parking.","https://www.rightmove.co.uk/properties/168596600#/?channel=COM_LET","2025-10-24T17:17:34Z","","new","Marketed by JLL, Glasgow - Offices","","55.9065","-4.407187","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257816/168596600/257816_158029-2_IMG_03_0000_max_476x317.jpeg"
"168503375","Dunbartonshire","Office"," Suite 3 , 1/11 Douglas Street, Glasgow, G62","£500 pcm","","","","274 sq. ft.","274","274","25","25","Milngavie is an affluent residential suburb situated approximately 6 miles north west of Glasgow City Centre. The premises are arguably within the best retailing pitch of the town centre, with car parking to the rear and Milngavie Train Station is located within a short walk from the subjects .","https://www.rightmove.co.uk/properties/168503375#/?channel=COM_LET","2025-10-22T17:51:59Z","","new","Marketed by Lapsley McManus Property Consultants LTD, Glasgow","","55.941","-4.31752","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168503375/73725_EE51025_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168503375/73725_EE51025_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168503375/73725_EE51025_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168503375/73725_EE51025_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168503375/73725_EE51025_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168503375/73725_EE51025_IMG_03_0000_max_476x317.jpeg"
"168500591","Dunbartonshire","Shop","Main Street, Glasgow, G62","£1,333 pcm","","","","436 sq. ft.","436","436","41","41","The retail / office unit is located on the west side of Main Street, arguably the prime section of Milngavie's pedestrianised town centre. Milngavie is an affluent residential suburb situated approximately 6 Miles north west of Glasgow City Centre.","https://www.rightmove.co.uk/properties/168500591#/?channel=COM_LET","2025-10-22T17:08:45Z","","new","Marketed by Lapsley McManus Property Consultants LTD, Glasgow","","55.94053","-4.31845","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73725/168500591/73725_EE31025_IMG_06_0000_max_476x317.jpeg"
"168369254","Dunbartonshire","Office","50 Drymen Road, Bearsden, G61 2RH","£400 pcm","","","","162 sq. ft.","162","162","15","15","OFFICE SUITE AVAILABLE TO RENT Why not join our increasing number of business professionals and companies who enjoy our versatile self-contained executive business suites, tailor made to suit individual requirements. You will have the best of neighbours as our office suites are ...","https://www.rightmove.co.uk/properties/168369254#/?channel=COM_LET","2025-10-20T09:08:50Z","","new","Marketed by G & S Properties, Bearsden","","55.916307","-4.330143","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/168369254/65710_33880287_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/168369254/65710_33880287_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/168369254/65710_33880287_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/168369254/65710_33880287_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/168369254/65710_33880287_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/168369254/65710_33880287_IMG_05_0000_max_476x317.jpeg"
